Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_HandSoldering",185.166000,-40.894000,270.000000,bottom
"C2","22pF","C_0805_HandSoldering",187.452000,-39.751000,90.000000,bottom
"C3","10uF","C_0805_HandSoldering",189.738000,-27.432000,90.000000,bottom
"C4","1uF (±10%)","C_0805_HandSoldering",187.452000,-27.432000,90.000000,bottom
"C5","1uF","C_0805_HandSoldering",165.882000,-36.322000,180.000000,bottom
"C6","0.1uF","C_0805_HandSoldering",165.882000,-38.354000,180.000000,bottom
"C7","0.1uF","C_0805_HandSoldering",180.848000,-50.292000,0.000000,bottom
"C8","0.1uF","C_0805_HandSoldering",167.386000,-47.244000,90.000000,bottom
"C9","0.1uF","C_0805_HandSoldering",188.448000,-36.068000,0.000000,bottom
"D1","D","D_SOD-123",44.780200,-39.370000,90.000000,bottom
"D2","D","D_SOD-123",54.749700,-63.246000,90.000000,bottom
"D3","D","D_SOD-123",55.270400,-82.080100,90.000000,bottom
"D4","D","D_SOD-123",53.594000,-101.346000,90.000000,bottom
"D5","D","D_SOD-123",54.381400,-120.218200,90.000000,bottom
"D6","D","D_SOD-123",47.117000,-139.344400,90.000000,bottom
"D7","D","D_SOD-123",68.745100,-37.566600,90.000000,bottom
"D8","D","D_SOD-123",73.723500,-63.068200,90.000000,bottom
"D9","D","D_SOD-123",79.248000,-82.194400,90.000000,bottom
"D10","D","D_SOD-123",79.717900,-101.015800,90.000000,bottom
"D11","D","D_SOD-123",85.051900,-120.129300,90.000000,bottom
"D12","D","D_SOD-123",87.655400,-37.896800,90.000000,bottom
"D13","D","D_SOD-123",92.735400,-61.455300,90.000000,bottom
"D14","D","D_SOD-123",99.568000,-84.074000,78.000000,bottom
"D15","D","D_SOD-123",100.106198,-103.771599,78.000000,bottom
"D16","D","D_SOD-123",105.458094,-124.440384,78.000000,bottom
"D17","D","D_SOD-123",106.205601,-143.908037,78.000000,bottom
"D18","D","D_SOD-123",108.432600,-42.214800,78.000000,bottom
"D19","D","D_SOD-123",112.776000,-67.310000,78.000000,bottom
"D20","D","D_SOD-123",118.110000,-88.138000,78.000000,bottom
"D21","D","D_SOD-123",118.743731,-107.620890,78.000000,bottom
"D22","D","D_SOD-123",124.116946,-128.613944,78.000000,bottom
"D23","D","D_SOD-123",127.000000,-46.151800,78.000000,bottom
"D24","D","D_SOD-123",131.433246,-71.351564,78.000000,bottom
"D25","D","D_SOD-123",136.716521,-92.151196,78.000000,bottom
"D26","D","D_SOD-123",137.248670,-111.761735,78.000000,bottom
"D27","D","D_SOD-123",142.765286,-132.016681,78.000000,bottom
"D28","D","D_SOD-123",138.726394,-151.064477,78.000000,bottom
"D29","D","D_SOD-123",150.368000,-51.054000,78.000000,bottom
"D30","D","D_SOD-123",149.945907,-75.349896,78.000000,bottom
"D31","D","D_SOD-123",155.448000,-96.012000,78.000000,bottom
"D32","D","D_SOD-123",156.120946,-115.405944,78.000000,bottom
"D33","D","D_SOD-123",161.379054,-135.800056,78.000000,bottom
"D34","D","D_SOD-123",166.659972,-157.131579,78.000000,bottom
"D34_1","D","D_SOD-123",190.036385,-136.040688,102.000000,bottom
"D35","D","D_SOD-123",168.910000,-58.928000,78.000000,bottom
"D36","D","D_SOD-123",168.688527,-79.254474,78.000000,bottom
"D37","D","D_SOD-123",191.478054,-96.736944,102.000000,bottom
"D38","D","D_SOD-123",200.081316,-114.302048,102.000000,bottom
"D39","D","D_SOD-123",208.577593,-131.885525,102.000000,bottom
"D40","D","D_SOD-123",196.596000,-51.816000,102.000000,bottom
"D41","D","D_SOD-123",196.754434,-75.940365,102.000000,bottom
"D42","D","D_SOD-123",209.979094,-92.729617,102.000000,bottom
"D43","D","D_SOD-123",218.705128,-110.462701,102.000000,bottom
"D44","D","D_SOD-123",227.291271,-128.068082,102.000000,bottom
"D45","D","D_SOD-123",219.664228,-149.051586,102.000000,bottom
"D46","D","D_SOD-123",215.138000,-47.879000,102.000000,bottom
"D47","D","D_SOD-123",215.392000,-72.136000,102.000000,bottom
"D48","D","D_SOD-123",228.727000,-88.900000,102.000000,bottom
"D49","D","D_SOD-123",237.363789,-106.436428,102.000000,bottom
"D50","D","D_SOD-123",245.872000,-124.079000,102.000000,bottom
"D51","D","D_SOD-123",238.379000,-42.926000,102.000000,bottom
"D52","D","D_SOD-123",234.023054,-68.288944,102.000000,bottom
"D53","D","D_SOD-123",247.356153,-84.865202,102.000000,bottom
"D54","D","D_SOD-123",255.942946,-102.399056,102.000000,bottom
"D55","D","D_SOD-123",264.578946,-120.052056,102.000000,bottom
"D56","D","D_SOD-123",259.224833,-140.702070,102.000000,bottom
"D57","D","D_SOD-123",257.048000,-39.116000,102.000000,bottom
"D58","D","D_SOD-123",252.704940,-64.379540,102.000000,bottom
"D59","D","D_SOD-123",265.883294,-80.862565,102.000000,bottom
"D60","D","D_SOD-123",276.631400,-101.257100,90.000000,bottom
"D61","D","D_SOD-123",286.042100,-120.218200,90.000000,bottom
"D62","D","D_SOD-123",277.926800,-37.820600,90.000000,bottom
"D63","D","D_SOD-123",272.897600,-61.557900,90.000000,bottom
"D64","D","D_SOD-123",286.524700,-82.080100,90.000000,bottom
"D65","D","D_SOD-123",295.605200,-101.126400,90.000000,bottom
